name,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_rush_yd,proj_rec_yd,proj_pass_td,proj_rush_td,proj_rec_td,proj_int,proj_fum,team,games_played,fantasy_points
Trey Benson,0.0,86.52,9.76,0.0,575.47,72.22,0.0,1.07,0.0,0.0,0.0,ARI,18,71.18900000000001
Trey Lance,24.08,23.25,0.0,58.92,39.14,0.0,0.0,0.0,0.0,2.97,0.0,LAC,18,0.3308
Trey McBride,0.0,0.37,175.65,0.0,0.75,1310.02,0.0,0.43,3.83,0.0,0.0,ARI,18,156.637
Trey Palmer,0.0,0.0,43.3,0.0,0.0,328.59999999999997,0.0,0.0,0.0,0.0,0.0,NOR,18,32.86
Troy Franklin,0.0,0.0,68.8,0.0,0.0,362.11,0.0,0.0,1.23,0.0,0.0,DEN,18,43.59100000000001
Tua Tagovailoa,651.22,23.43,0.0,4227.4,42.44,0.0,33.3,0.0,0.0,16.23,0.9199999999999999,MIA,18,272.24
Tucker Fisk,0.0,0.0,18.3,0.0,0.0,102.49,0.0,0.0,0.0,0.0,0.0,LAC,18,10.249
Tucker Kraft,0.0,6.13,57.97,0.0,16.34,649.48,0.0,0.0,6.39,0.0,0.0,GNB,18,104.922
Tutu Atwell,0.0,2.04,35.339999999999996,0.0,0.0,334.06,0.0,0.0,0.0,0.0,0.0,LAR,18,33.406
Ty Chandler,0.0,50.22,0.0,0.0,97.49,0.0,0.0,0.0,0.0,0.0,0.0,MIN,18,9.749
Ty Johnson,0.0,57.96,36.35,0.0,332.05,453.26,0.0,0.0,2.27,0.0,0.0,BUF,18,92.15100000000001
Tylan Wallace,0.0,0.0,24.38,0.0,0.0,298.92,0.0,0.0,1.17,0.0,0.14,BAL,18,36.632000000000005
Tyler Allgeier,0.0,152.6,5.7,0.0,553.09,34.6,0.0,3.06,0.0,0.0,0.0,ATL,18,77.129
Tyler Badie,0.0,0.0,99.1,0.0,0.0,260.53,0.0,0.0,0.0,0.0,0.0,DEN,17,26.052999999999997
Tyler Conklin,0.0,5.3,84.2,0.0,8.18,725.99,0.0,0.0,3.29,0.0,0.21000000000000002,LAC,18,92.73700000000001
Tyler Goodson,0.0,40.95,6.17,0.0,216.37,18.08,0.0,0.0,2.06,0.0,0.0,IND,18,35.805
Tyler Higbee,0.0,0.0,44.89,0.0,0.0,176.98,0.0,0.0,8.19,0.0,0.0,LAR,18,66.838
Tyler Lockett,0.0,0.0,41.83,0.0,0.0,277.66,0.0,0.0,0.43,0.0,0.0,TEN,18,30.346000000000004
Tyler Warren,0.0,17.09,146.38,0.0,53.95,1197.1100000000001,0.0,0.0,0.0,0.0,0.0,IND,17,125.10600000000001
Tyquan Thornton,0.0,0.0,67.34,0.0,0.0,701.02,0.0,0.0,0.0,0.0,0.0,KAN,17,70.102
Tyreek Hill,0.0,3.39,143.97,0.0,20.75,1115.37,0.0,0.0,8.91,0.0,0.0,MIA,18,167.072
Tyrell Shavers,0.0,0.0,17.83,0.0,0.0,1196.15,0.0,0.0,18.4,0.0,0.0,BUF,18,230.015
Tyrod Taylor,260.25,35.92,0.0,1523.58,110.65,0.0,38.85,0.0,0.0,0.0,1.3800000000000001,NYJ,18,224.64820000000003
Tyrone Tracy Jr.,0.0,200.09,75.97,0.0,646.24,365.53000000000003,0.0,3.69,2.24,0.0,0.39,NYG,18,135.97700000000003
Tyson Bagent,17.15,0.0,0.0,92.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,18,3.7048
Van Jefferson,0.0,0.0,36.15,0.0,0.0,278.55,0.0,0.0,2.4,0.0,0.0,TEN,18,42.255
Velus Jones Jr.,0.0,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOR,18,0.0
Wan'Dale Robinson,0.0,1.32,133.68,0.0,0.0,812.73,0.0,0.0,2.65,0.0,0.0,NYG,18,97.173
Will Dissly,0.0,0.0,44.71,0.0,0.0,422.6,0.0,0.0,1.32,0.0,0.0,LAC,18,50.18000000000001
Will Levis,493.06,62.76,0.0,3530.67,118.64,0.0,18.87,0.0,0.0,17.85,1.31,TEN,18,190.25080000000003
Will Mallory,0.0,0.0,17.35,0.0,0.0,66.71,0.0,0.0,0.0,0.0,0.0,IND,18,6.670999999999999
Will Shipley,0.0,50.32,0.0,0.0,298.68,0.0,0.0,0.0,0.0,0.0,0.0,PHI,18,29.868000000000002
Woody Marks,0.0,47.97,0.0,0.0,47.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,HOU,17,4.798000000000001
Xavier Gipson,0.0,0.0,18.57,0.0,0.0,84.6,0.0,0.0,0.0,0.0,0.0,NYJ,18,8.459999999999999
Xavier Hutchinson,0.0,3.84,34.33,0.0,19.19,251.03,0.0,0.0,0.0,0.0,0.0,HOU,18,27.022000000000002
Xavier Legette,0.0,3.37,128.79,0.0,8.3,552.07,0.0,0.0,0.04,0.0,0.0,CAR,18,56.27700000000001
Xavier Smith,0.0,0.0,16.88,0.0,0.0,608.42,0.0,0.0,0.0,0.0,0.0,LAR,17,60.842
Xavier Worthy,0.0,29.53,122.36,0.0,148.22,802.6899999999999,0.0,2.72,5.84,0.0,0.0,KAN,18,146.451
Zach Charbonnet,0.0,174.32,47.17,0.0,866.13,278.67,0.0,12.54,0.0,0.0,0.0,SEA,18,189.72
Zach Ertz,0.0,0.0,93.46,0.0,0.0,684.71,0.0,0.0,14.34,0.0,0.0,WAS,18,154.511
Zach Wilson,137.44,17.5,0.0,543.15,55.46,0.0,0.0,0.0,0.0,0.0,0.0,MIA,17,27.272
Zamir White,0.0,74.8,0.0,0.0,173.95,0.0,0.0,1.96,0.0,0.0,0.0,LVR,18,29.155
Zay Flowers,0.0,12.120000000000001,133.77,0.0,31.97,1496.24,0.0,0.0,5.09,0.0,0.0,BAL,18,183.361
Zay Jones,0.0,0.0,19.68,0.0,0.0,163.47,0.0,0.0,0.0,0.0,0.0,ARI,18,16.347
